Review,Rating,One-word Review,Product Name,Product ID,Sentiment_Score,compound,vader_lexicon_Sentiment
Precious product. Bestest camera. I am fully satisfied. Thank you 🙂,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.8615}",0.8615,Positive
Camera is awesome 👌 Premium built. Everything is amazing except battery performance . Awesome phone,4,Very Good,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.9186}",0.9186,Positive
Love itt 💓,5,Brilliant,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,Positive
Very very good 👍👍👍👍👍👍 camera 📸,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.5379}",0.5379,Positive
"Great camera ,display and design . Can handle multitasking with ease and very snapy for navigating between apps. Battery is decent. You can play any games but if you are buying a phone mainly focused on gaming there are better phones out there . This device is an underrated gem in this segment !",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9108}",0.9108,Positive
Best shots comes in daylight condition Overall good phone at this price range  Cons. Poor battery backup you need to recharge the device twice a day,4,Nice product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.096, 'neu': 0.683, 'pos': 0.22, 'compound': 0.6124}",0.6124,Positive
Excellent Camera and Display. Performance also awesome. Only thing can be improved is battery. I'm mixed user I get 5 hrs of SOT.,5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8979}",0.8979,Positive
Wonderful product. Everything is extraordinary.,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,Positive
Photos was next level,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"It's been 3-4 months using this phone. [UPDATED]  Pros. 1. I've bought 128GB variant out of that 128GB, 122GB is occupied by Apps, Videos, Photos etc... still 0% lagg. Working like a brand new. 2. Unbeatable camera at this price, even some people ask are these pictures clicked from DSLR. Telephoto lens is capturing great pictures even in low light. 3. Good quality of display. 4. Feels premium as it's very sleek and light weight. 5. Fast charging, charges the phone in 1 hour 10 minutes. 6. Ram... READ MORE",5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.043, 'neu': 0.858, 'pos': 0.098, 'compound': 0.743}",0.743,Positive
I am using this phone since last 25 days Firstly the good things phone cameras are awesome And Display is a fantastic even we use sunlight also the Display is very cleared. And Performance is very very good. It's Design is ok Bad things Only the Battery Performance it is normal user it is ok but gaming lover or heavy user it is not good of battery life,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.028, 'neu': 0.695, 'pos': 0.277, 'compound': 0.9524}",0.9524,Positive
Just ❤️ camera,5,Best in the market!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Review after using one month.  Just one word, Outstanding. What a masterpiece by samsung. If you want to get premium phone under 50k Just go for it without any doubt. It clicks wonderful photos,runs smooth while playing games,no heat issue. Feels good in hand. Front cam is also awesome.  Thank you flip kart for fast delivery.",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.9812}",0.9812,Positive
Nice performance Nice experience I love ❤️ samsung,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.29, 'pos': 0.71, 'compound': 0.8689}",0.8689,Positive
Best camera phone in segment,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,Positive
Superb phone I'm happy with my my purchase Camera is superb 📷 Nice looking and display 👌 Sound quality is good 👍,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9559}",0.9559,Positive
Superb phone. Camara a1.,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,Positive
Best camera in range. Battery lasts as expected. Superb design and classy look 💜.. Themes are also good.. Selfie camera isn't up to mark but ok.,5,Classy product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.836}",0.836,Positive
Best camera BTW there little bit heat in outdoor use,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,Positive
Amazing phone with Amazing Camera but overheating problem,5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.266, 'neu': 0.375, 'pos': 0.36, 'compound': 0.0644}",0.0644,Positive
"I was looking at this phone before BBD and it was at the lowest price at that time, I didn't get it at lowest price but lower price of 33k and even at this price this device worth a lot.  Lavender color was my last choice but other options were out of stock so had to go with it. But believe me this color is the best of all.  Even back is plastic it doesn't look cheap.  My verdict. Camera : 5 Display : 5 Battery : 3.5 Performance : 4.5 Build : 4.5  Bonus: You get water and dust resistance al... READ MORE",5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.059, 'neu': 0.804, 'pos': 0.137, 'compound': 0.886}",0.886,Positive
Superb mobile phone that's all ✌️,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,Positive
"Wonderful cameras.. performance is also good..great display..battery backup is average.. great phone if you love photography, watching videos and scrolling social media.. you will get 4 years of Android update and 5 years of security update..great deal overall but not recommended for heavy gamers..",5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.039, 'neu': 0.769, 'pos': 0.191, 'compound': 0.744}",0.744,Positive
Camera performance is way too good And Very impressive result Only one con and it is battery,5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.7574}",0.7574,Positive
"Stunning device, excellent display, excellent camera, decent battery 🔋",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.875}",0.875,Positive
Just go for it,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Reviewing after using for morethan 4 months .  Phone is very handy to use and camera is fabulous and battery life is decent for moderate usage.,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.5267}",0.5267,Positive
Don't wait buy this device at great deal in BBD  Everything is working fine Completely satisfied with device 👌  Nd don't worry about battery nd heating issue It is normal .. mine is working absolutely fine After update  Battery easily lasts till mid evening If you are graduant or employee  This is perfect..  Full paisa wasool,5,Mind-blowing purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.9274}",0.9274,Positive
"Hello!  I'm a Samsung S21FE owner, and I just wanted to say that I love my phone. It's camera is amazing, and it takes great pictures. But one thing I've noticed is that my battery runs out super quickly.",5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.9215}",0.9215,Positive
"Excellent mobile, display awesome, battery decent ,camera super",5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.299, 'pos': 0.701, 'compound': 0.9136}",0.9136,Positive
Just Awesome camera quality... Got this at a very affordable price.,5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.6249}",0.6249,Positive
"Pros: flagship like features, camera is good, dosing is good, display 👌  Cons: front camera is good but could have been batter, battery 🔋 is good in shaving mode. But in normal mode it's very annoying 🙄.  Overall this is a great deal in this price point. Never disappointed.",5,Best in the market!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.064, 'neu': 0.591, 'pos': 0.345, 'compound': 0.9397}",0.9397,Positive
"Everything in this phone is excellent except battery. Battery performance is very bad. Need to charge twice a day after medium usage. Camera , Display, Performance, design is best.",4,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.106, 'neu': 0.672, 'pos': 0.221, 'compound': 0.6258}",0.6258,Positive
Nice Phone,4,Really Nice,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive
"Camera is awesome, but struggle when try to record videos in 60fps. Overall great package.",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.127, 'neu': 0.518, 'pos': 0.354, 'compound': 0.7391}",0.7391,Positive
"Amazing camera. Great performance. Battery life good but not very impressive, 6 hours of screen time which works for a whole day. Phone is a charm. Green colour is lit. You won't get anything like this in this price range. Can easily beat iPhone 13's camera.",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.117, 'neu': 0.642, 'pos': 0.242, 'compound': 0.719}",0.719,Positive
Awesome 👌,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,Positive
"Design is great even though it have a plastic back but finish is matte and scratch free, aluminium frame, excellent cameras you can rely on, no heating so far. The only cons are battery performance is below average for this price range and I get application error message frequently for half and hour each time I switch off and on the phone even after update.",5,Great product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.084, 'neu': 0.756, 'pos': 0.16, 'compound': 0.7717}",0.7717,Positive
Best phone under this price performance is also good.,5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7964}",0.7964,Positive
Good camera,5,Must buy!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive
"Best phone in this price range. Battery is good for a normal user, I'll not recommend it to a hard core gamer. Resolutin and smoothness is🥵. AND THE LAST.... CAMERA IS OUTSTANDING (not better than Apple😁)",5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.076, 'neu': 0.605, 'pos': 0.319, 'compound': 0.922}",0.922,Positive
Awesome colors,5,Simply awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Positive
"The biggest issue with the device is the battery, drains very quickly, I repeat very quickly.  Camera, display, performance, design, signal reception, speakers everything is good.  But at this price point this is one of the value for money mobiles.  One of the biggest advantage is Samsung is promising 4 years of Android updates, this device will get updates all the way to Android 16.  Overall, I am satisfied with the device apart from battery.",4,Value-for-money,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.93}",0.93,Positive
Trust me Its Camera and display is far better than my iphone 13. Amazing Low light photography with so many inbuilt effects. Object removal feature works perfectly. Only weak point is its battery but if you are not a gamer then you can use battery for 24 hours in single charge.. Go for it if you love photography..,5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.051, 'neu': 0.731, 'pos': 0.218, 'compound': 0.9081}",0.9081,Positive
Overall good phone but battery 🔋 backup in decent. Camera 📷 is awesome.,4,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.8225}",0.8225,Positive
If u are looking for a good camera on Android... Use it ...,5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404,Positive
"The camera is one of its shining features, capturing high-quality images that are sharp, vibrant, and full of detail. Whether you're snapping a quick photo or recording a video, the camera performs exceptionally well.  The display is another strong point. It offers a clear, crisp viewing experience with excellent color reproduction. Whether you're browsing the web, watching videos, or playing games, the display delivers a visually pleasing experience.  However, the battery life leaves somethi... READ MORE",5,Mind-blowing purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.9617}",0.9617,Positive
It's very nice phone,5,Wonderful,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4754}",0.4754,Positive
"Got the phone on pre-order, had to wait a fair while for it to be delivered but it was worth the wait. The pre-order pricing and trade in offer brought the overall cost to a great deal. I needed a phone that was compact for one hand use and could fit into a pocket easily",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.9652}",0.9652,Positive
Product is very good. But 1 issue is heating. Except heating problem the phone is the best 😍😍😍💕💖❣️❤️,4,Pretty good,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.14, 'neu': 0.55, 'pos': 0.31, 'compound': 0.6538}",0.6538,Positive
"Excellent Camera,Excellent performance and smoothness,The display clarity is top notch... I recommend the phone for sure...",5,Brilliant,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.8658}",0.8658,Positive
Camera performance excellent 👌👌 battery performance great❤️❤️ Display supb❤️❤️,5,Terrific purchase,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,Positive
"Best camera phone Avg battery Best performance S21fe = 1 ,iPhone13 =0",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.8555}",0.8555,Positive
"Been using this phone as my primary phone for 4 days now. So a brief opinion I can provide about various aspects of the phone.  1. Display: Quite good, bright and nice-looking. No visibility issue in sun. Touch experience is good, the 120 hz refresh rate works fine.  2. Battery: With two sims and general office works/photo/video watch/phone call etc, it manages to last just the day-long. I unplug it ar 100 percent at 9 am, leave for office and return at 9 pm with nearly 30 percent battery re... READ MORE",4,Nice product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.036, 'neu': 0.844, 'pos': 0.12, 'compound': 0.8387}",0.8387,Positive
"I was extremely disappointed during first two to three days as the mobile was heating badly and battery life was bad and camera was not that great. I put return request as well. But from third day on wards, mobile heating issue was solved by keeping most of the apps in deep sleep mode. Battery life also improved a bit. My daily usage is office emails, teams, photo and video and extreme browsing. Battery gets drained 10% percent on 4g per 1 hour. I also capped the battery to 85% max charging ... READ MORE",5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.116, 'neu': 0.802, 'pos': 0.082, 'compound': -0.3702}",-0.3702,Negative
"Very nice and great camera, decent battery 🔋 👌, overall great product with reasonable price 👍. Must to purchase product",5,Awesome,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9156}",0.9156,Positive
Nice phone 📱,4,Worth the money,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive
Good Camara 👍 Best Display,5,Fabulous!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.22, 'pos': 0.78, 'compound': 0.7964}",0.7964,Positive
"Best product in market at this price. Camera (3x portrait shots are outstanding), performance, battery, overall usability is extremely good. Cons: heating issue is there but after update heating issue reduced very well. I am using it for past 3 months no issues with mobile.",5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.056, 'neu': 0.787, 'pos': 0.157, 'compound': 0.6106}",0.6106,Positive
"Fantastic Device! Best in Segment just close your eyes and go for this🔥 being a Tech geek i heard that this phone has some crazy Heating issues and won't be surviving a full day with normal usage but even after a Heavy use(2 hours Codm,almost 10-15 mins of camera usage, Video Streaming at Highest quality+full brightness, etc) this phone easily ends with 15-20% battery left by the time it's 11:30-12AM. The main usp of this phone are its cameras and Display! I mean it's a Samsung S series phon... READ MORE",5,Super!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.049, 'neu': 0.823, 'pos': 0.128, 'compound': 0.857}",0.857,Positive
Nice phone good camara..,5,Brilliant,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.26, 'pos': 0.74, 'compound': 0.6908}",0.6908,Positive
Pros - 1. Good Vibrant Display. 2. Light weight and Premium build quality 3. One UI and widgets are simply awesome and fun to use.   Cons- 1. Battery drains very fast. 2. Charing time is very high. 3. Adaptive brightness do not work very well,4,Worth the money,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.036, 'neu': 0.675, 'pos': 0.289, 'compound': 0.9357}",0.9357,Positive
"Beat camera phone in this budget ...battery is decent....,display is soo smooth .....I'm happy to own this ...just love this mobile😍😍",5,Just wow!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.836}",0.836,Positive
"Great display, good performance with light weight and compact phone",5,Highly recommended,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.7906}",0.7906,Positive
10days back i purchase S21fe.I had a bad experience with flipkart i booked S21fe 27000 along with bankoffer and exchange offer but without proper reason delivery boy charged extra 2000/rs.my old device is very clean without even a dent.now i comes about S21fe mobile performence.this S21 fe mobile back body comes with plastic with good look. My device colour is lavender looking wise very good..all the features are good especially the camera and audio I like it a lot. I play games very little t... READ MORE,4,Pretty good,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.046, 'neu': 0.727, 'pos': 0.227, 'compound': 0.9625}",0.9625,Positive
"Nice phone specifically camera is too good. Many phone giving 60,100 mega pixel but this 30 mp is dad of those extra megapixle theory. Over all performance is good and definitely feels like premium phone Battery could be better.",5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.9587}",0.9587,Positive
Great phone with great camera,5,Classy product,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.268, 'pos': 0.732, 'compound': 0.8481}",0.8481,Positive
"Camera is very good , but have seen heating issues and battery issues ....but worth for 32k",4,Value-for-money,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.5341}",0.5341,Positive
Camera is awesome,5,Excellent,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,Positive
Super camera quality and battery backup also nice.,5,Terrific,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.7717}",0.7717,Positive
"its new, feels premium in hand and snapy....was using pixel 4a, still getting used to samsung UI..special thanks to flipkart delivery person, he delivered my phone dispute rain, and was very humble in doing so...flipkart needs to give him a promotion😃",5,Perfect product!,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.059, 'neu': 0.808, 'pos': 0.133, 'compound': 0.5267}",0.5267,Positive
"An ex-iPhone user here. Straight-up, One of the best phone cameras out there period. It takes amazing photos and the zoom is outstanding. And the display is fabulous as well, the 120hz with the Samsung's display just makes it so much better than any iphone. I compared it with the iPhone 13 and it destroys it easily.",5,Worth every penny,Samsung Galaxy S21 FE,MOBGSXD7TZZTJQXE,"{'neg': 0.048, 'neu': 0.643, 'pos': 0.309, 'compound': 0.9611}",0.9611,Positive
